input_text,output_json
Tujuan: Meruya Utara - Kembangan - No. 83C jlzn. M.H. THAMRIN - Jakarta Bar. - DKI Jakarta,"{""nama_jalan"": ""JL. M.H. THAMRIN"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""83C"", ""rt"": null, ""rw"": null, ""kelurahan"": ""Meruya Utara"", ""kecamatan"": ""Kembangan"", ""kota_kabupaten"": ""Kota Jakarta Barat"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": null, ""detail_unit"": null}"
"Alamat saya di BINTARO TENGAH No.61B, RT 06/RW 08, Bangka, Mampang Prapatan, Jakarta Sel., 12730, DKI Jakarta","{""nama_jalan"": ""JL. BINTARO TENGAH"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""61B"", ""rt"": ""6"", ""rw"": ""8"", ""kelurahan"": ""Bangka"", ""kecamatan"": ""Mampang Prapatan"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""12730"", ""detail_unit"": null}"
Kirim paket ke Jakarta Bar. DKI Jakarta Pinangsia Taman Sari 14 gang PELABUHAN RAYA Rt.2 Rw.14,"{""nama_jalan"": ""JL. PELABUHAN RAYA"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""14"", ""rt"": ""2"", ""rw"": ""14"", ""kelurahan"": ""Pinangsia"", ""kecamatan"": ""Taman Sari"", ""kota_kabupaten"": ""Kota Jakarta Barat"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": null, ""detail_unit"": null}"
"Tolong antarkan ke alamat 10440, Jakpus, Paseban, Senen, Gang KEBUN JERUK IX 43B, Lantai 24 Unit 8A, RT 01/RW 02","{""nama_jalan"": ""JL. KEBUN JERUK IX"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""43B"", ""rt"": ""1"", ""rw"": ""2"", ""kelurahan"": ""Paseban"", ""kecamatan"": ""Senen"", ""kota_kabupaten"": ""Kota Jakarta Pusat"", ""provinsi"": null, ""kodepos"": ""10440"", ""detail_unit"": ""Lantai 24 Unit 8A""}"
"Tolong antarkan ke alamat 10250, Jakarta Pusat, DKI Jakarta, Kampung Bali, Tanah Abang, No.34C Jln. LAP. BANTENG TIMUR, RT 10/RW 04","{""nama_jalan"": ""JL. LAP. BANTENG TIMUR"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""34C"", ""rt"": ""10"", ""rw"": ""4"", ""kelurahan"": ""Kampung Bali"", ""kecamatan"": ""Tanah Abang"", ""kota_kabupaten"": ""Kota Jakarta Pusat"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""10250"", ""detail_unit"": null}"
Alamat saya di Gg. CAKUNG CILINCING RAYA 17A - RT 14/RW 11 - Kemanggisan - Pal Merah - Jakarta Barat - 11480 - DKI Jakarta,"{""nama_jalan"": ""JL. CAKUNG CILINCING RAYA"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""17A"", ""rt"": ""14"", ""rw"": ""11"", ""kelurahan"": ""Kemanggisan"", ""kecamatan"": ""Pal Merah"", ""kota_kabupaten"": ""Kota Jakarta Barat"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""11480"", ""detail_unit"": null}"
"Lokasi rumah: Jakarta Pus., 10650, DKI Jakarta, Utan Panjang, Kemayoran, jln. PONDOK GEDE RAYA 13A, RT 4, RW 10","{""nama_jalan"": ""JL. PONDOK GEDE RAYA"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""13A"", ""rt"": ""4"", ""rw"": ""10"", ""kelurahan"": ""Utan Panjang"", ""kecamatan"": ""Kemayoran"", ""kota_kabupaten"": ""Kota Jakarta Pusat"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""10650"", ""detail_unit"": null}"
Pulau Untung Jawa - Kepulauan Seribu Selatan. - Gg. cBAMBU BETUNG I No.86C - RT 08/RW 02 - Kab. Kep. Seribu - 14510 - DKI Jakarta,"{""nama_jalan"": ""JL. BAMBU BETUNG I"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""86C"", ""rt"": ""8"", ""rw"": ""2"", ""kelurahan"": ""Pulau Untung Jawa"", ""kecamatan"": ""Kepulauan Seribu Selatan."", ""kota_kabupaten"": ""Kabupaten Kepulauan Seribu"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""14510"", ""detail_unit"": null}"
Tolong antarkan ke alamat SMK Tanjung Priok 2 Jakarta D16 No. 10 RT 7 / RW 11 Ciracas Ciracas Jakarta Timur,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""SMK Tanjung Priok 2 Jakarta"", ""blok_kavling"": ""D16"", ""nomor"": ""10"", ""rt"": ""7"", ""rw"": ""11"", ""kelurahan"": ""Ciracas"", ""kecamatan"": ""Ciracas"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": null}"
"Tolong antarkan ke alamat jalan KEBON NANAS UTARA II 12A, Rt.11 / Rw.3, Pisangan Timur, Pulogadung, 13230, Jakarta Timur","{""nama_jalan"": ""JL. KEBON NANAS UTARA II"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""12A"", ""rt"": ""11"", ""rw"": ""3"", ""kelurahan"": ""Pisangan Timur"", ""kecamatan"": ""Pulogadung"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": ""13230"", ""detail_unit"": null}"
Jalkan M.H. THAMRIN No.12 - RT 15/RW 06 - Jati - Pulogadung - Jaktim - 13220,"{""nama_jalan"": ""JL. M.H. THAMRIN"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""12"", ""rt"": ""15"", ""rw"": ""6"", ""kelurahan"": ""Jati"", ""kecamatan"": ""Pulogadung"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": ""13220"", ""detail_unit"": null}"
"Kirim paket ke Rawamangun / Pulogadung / 25B Jalan MAHAKAM / Lantai 22 Unit 8A / Rt.11, Rw.6 / 13220 / Jakarta Timur","{""nama_jalan"": ""JL. MAHAKAM"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""25B"", ""rt"": ""11"", ""rw"": ""6"", ""kelurahan"": ""Rawamangun"", ""kecamatan"": ""Pulogadung"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": ""13220"", ""detail_unit"": ""Lantai 22 Unit 8A""}"
Tolong antarkan ke alamat jalan KESEHATAN V No. 75C - Rt.7 Rw.7 - Pulau Kelapa - Kepulauan Seribu Utara - Pulau Seribu - 14540 - DKI Jakarta,"{""nama_jalan"": ""JL. KESEHATAN V"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""75C"", ""rt"": ""7"", ""rw"": ""7"", ""kelurahan"": ""Pulau Kelapa"", ""kecamatan"": ""Kepulauan Seribu Utara"", ""kota_kabupaten"": ""Kabupaten Kepulauan Seribu"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""14540"", ""detail_unit"": null}"
"Lokasi rumah: Pancoran, Pancoran, SMK Bina Pangudi Luhur Jakarta No. 42 Blok C9, RT 9, RW 10, 12780, Jakarta Sel.","{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""SMK Bina Pangudi Luhur Jakarta"", ""blok_kavling"": ""C9"", ""nomor"": ""42"", ""rt"": ""9"", ""rw"": ""10"", ""kelurahan"": ""Pancoran"", ""kecamatan"": ""Pancoran"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": null, ""kodepos"": ""12780"", ""detail_unit"": null}"
"Lokasi rumah: Jln DENPASAR RAYA No. 59C, RT 12 / RW 8, Malaka Sari, Duren Sawit, Jakarta Tim.","{""nama_jalan"": ""JL. DENPASAR RAYA"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""59C"", ""rt"": ""12"", ""rw"": ""8"", ""kelurahan"": ""Malaka Sari"", ""kecamatan"": ""Duren Sawit"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": null}"
Gg. CIKINI RAYA No.6A / RT 10/RW 06 / Pondok Kopi / Duren Sawit / Jakarta Tim. / 13460 / DKI Jakarta,"{""nama_jalan"": ""JL. CIKINI RAYA"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""6A"", ""rt"": ""10"", ""rw"": ""6"", ""kelurahan"": ""Pondok Kopi"", ""kecamatan"": ""Duren Sawit"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""13460"", ""detail_unit"": null}"
"Kirim paket ke SMA Pelita Tiga No 3 Jakarta D6 No. 21, RT 8 / RW 2, Kedoya Selatan, Kebon Jeruk, Jakarta Bar., 11520","{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""SMA Pelita Tiga No 3 Jakarta"", ""blok_kavling"": ""D6"", ""nomor"": ""21"", ""rt"": ""8"", ""rw"": ""2"", ""kelurahan"": ""Kedoya Selatan"", ""kecamatan"": ""Kebon Jeruk"", ""kota_kabupaten"": ""Kota Jakarta Barat"", ""provinsi"": null, ""kodepos"": ""11520"", ""detail_unit"": null}"
Tujuan: SMK Tirta Sari Surya D16 No. 43 / RT 4 / RW 3 / Kebagusan / Pasar Minggu / Jaksel / 12520 / DKI Jakarta,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""SMK Tirta Sari Surya"", ""blok_kavling"": ""D16"", ""nomor"": ""43"", ""rt"": ""4"", ""rw"": ""3"", ""kelurahan"": ""Kebagusan"", ""kecamatan"": ""Pasar Minggu"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""12520"", ""detail_unit"": null}"
Tolong antarkan ke alamat jl. BINTARO JAYA SEKTOR I 43C / RT 15/RW 10 / Pondok Kopi / Duren Sawit / DKI Jakarta / 13460 / Jakarta Timur,"{""nama_jalan"": ""JL. BINTARO JAYA SEKTOR I"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""43C"", ""rt"": ""15"", ""rw"": ""10"", ""kelurahan"": ""Pondok Kopi"", ""kecamatan"": ""Duren Sawit"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""13460"", ""detail_unit"": null}"
"Alamat saya di jln. SAM RATULANGI No.80B, RT 4/RW 11, Palmeriam, Matraman, Jaktim, DKI Jakarta","{""nama_jalan"": ""JL. SAM RATULANGI"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""80B"", ""rt"": ""4"", ""rw"": ""11"", ""kelurahan"": ""Palmeriam"", ""kecamatan"": ""Matraman"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": null, ""detail_unit"": null}"
"Tujuan: Grogol Selatan / Kebayoran Lama / Jln PULO NANGKA TENGAH 59C / Rt.6, Rw.6 / Jaksel / 12220 / DKI Jakarta","{""nama_jalan"": ""JL. PULO NANGKA TENGAH"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""59C"", ""rt"": ""6"", ""rw"": ""6"", ""kelurahan"": ""Grogol Selatan"", ""kecamatan"": ""Kebayoran Lama"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""12220"", ""detail_unit"": null}"
"Tolong antarkan ke alamat jln. KOMP. JATINEGARA INDAH 29B, RT 15/RW 13, Tanjung Priok, Kebon Bawang, Jakarta Utara","{""nama_jalan"": ""JL. KOMP. JATINEGARA INDAH"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""29B"", ""rt"": ""15"", ""rw"": ""13"", ""kelurahan"": ""Kebon Bawang"", ""kecamatan"": ""Tanjung Priok"", ""kota_kabupaten"": ""Kota Jakarta Utara"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": null}"
Jalan PINANG PERAK I No. 98A / Rt.13/Rw.7 / Pegangsaan Dua / Kelapa Gading / 14250 / Jakut,"{""nama_jalan"": ""JL. PINANG PERAK I"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""98A"", ""rt"": ""13"", ""rw"": ""7"", ""kelurahan"": ""Pegangsaan Dua"", ""kecamatan"": ""Kelapa Gading"", ""kota_kabupaten"": ""Kota Jakarta Utara"", ""provinsi"": null, ""kodepos"": ""14250"", ""detail_unit"": null}"
Alamat saya di Lubang Buaya Cipayung SMK Karya Teladan D11 21 Rt.12 Rw.6 13810 Jakarta Timur DKI Jakarta,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""SMK Karya Teladan"", ""blok_kavling"": ""D11"", ""nomor"": ""21"", ""rt"": ""12"", ""rw"": ""6"", ""kelurahan"": ""Lubang Buaya"", ""kecamatan"": ""Cipayung"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""13810"", ""detail_unit"": null}"
"Alamat saya di JL ANTENA V No.25B, Rt.6, Rw.10, Pademangan Timur, Pademangan, Jakut","{""nama_jalan"": ""JL. ANTENA V"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""25B"", ""rt"": ""6"", ""rw"": ""10"", ""kelurahan"": ""Pademangan Timur"", ""kecamatan"": ""Pademangan"", ""kota_kabupaten"": ""Kota Jakarta Utara"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": null}"
Alamat saya di DKI Jakarta - Jakarta Selatan - Pasar Manggis - Setiabudi - JALAN TAMAN RADOI DALAM III No.27B - Lantai 4 Unit 5A - RT 6/RW 4,"{""nama_jalan"": ""JL. TAMAN RADIO DALAM III"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""27B"", ""rt"": ""6"", ""rw"": ""4"", ""kelurahan"": ""Pasar Manggis"", ""kecamatan"": ""Setiabudi"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": null, ""detail_unit"": ""Lantai 4 Unit 5A""}"
